"","ZIPCODE","Calls311","Shelters","Crime","TotalHomeless","TotalSheltered","TotalUnsheltered","YouthHomeless","city.x","state.x","LATITUDE.x","LONGITUDE.x","CRIME.CODE.DESCRIPTION","LOCATION","LATITUDE.y","LONGITUDE.y","city.y","state.y"
"1403",93624,NA,NA,NA,NA,NA,NA,NA,"Five Points","CA",36.4026,-120.1286,NA,NA,NA,NA,NA,NA
"1404",93625,NA,NA,NA,NA,NA,NA,NA,"Fowler","CA",36.6265,-119.6753,NA,NA,NA,NA,NA,NA
"1405",93626,NA,NA,NA,NA,NA,NA,NA,"Friant","CA",37.0245,-119.685,NA,NA,NA,NA,NA,NA
"1406",93627,NA,NA,NA,NA,NA,NA,NA,"Helm","CA",36.5237,-120.1067,NA,NA,NA,NA,NA,NA
"1407",93628,NA,NA,NA,NA,NA,NA,NA,"Hume","CA",36.7802,-118.9152,NA,NA,NA,NA,NA,NA
"1408",93630,NA,NA,NA,NA,NA,NA,NA,"Kerman","CA",36.7226,-120.1008,NA,NA,NA,NA,NA,NA
"1409",93631,NA,NA,NA,NA,NA,NA,NA,"Kingsburg","CA",36.5061,-119.5459,NA,NA,NA,NA,NA,NA
"1410",93633,NA,NA,NA,NA,NA,NA,NA,"Kings Canyon National Pk","CA",36.7341,-118.9588,NA,NA,NA,NA,NA,NA
"1411",93634,NA,NA,NA,NA,NA,NA,NA,"Lakeshore","CA",37.2372,-119.233,NA,NA,NA,NA,NA,NA
"1412",93635,NA,NA,NA,NA,NA,NA,NA,"Los Banos","CA",37.0484,-120.8698,NA,NA,NA,NA,NA,NA
"1413",93637,NA,NA,NA,NA,NA,NA,NA,"Madera","CA",36.9148,-120.1582,NA,NA,NA,NA,NA,NA
"1414",93638,NA,NA,NA,NA,NA,NA,NA,"Madera","CA",36.9915,-119.9873,NA,NA,NA,NA,NA,NA
"1415",93639,NA,NA,NA,NA,NA,NA,NA,"Madera","CA",37.1606,-119.945,NA,NA,NA,NA,NA,NA
"1416",93640,NA,NA,NA,NA,NA,NA,NA,"Mendota","CA",36.7019,-120.428,NA,NA,NA,NA,NA,NA
"1417",93641,NA,NA,NA,NA,NA,NA,NA,"Miramonte","CA",36.6973,-119.0186,NA,NA,NA,NA,NA,NA
"1418",93642,NA,NA,NA,NA,NA,NA,NA,"Mono Hot Springs","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1419",93643,NA,NA,NA,NA,NA,NA,NA,"North Fork","CA",37.232,-119.5201,NA,NA,NA,NA,NA,NA
"1420",93644,NA,NA,NA,NA,NA,NA,NA,"Oakhurst","CA",37.4057,-119.5675,NA,NA,NA,NA,NA,NA
"1421",93645,NA,NA,NA,NA,NA,NA,NA,"O Neals","CA",37.1463,-119.6738,NA,NA,NA,NA,NA,NA
"1422",93646,NA,NA,NA,NA,NA,NA,NA,"Orange Cove","CA",36.6237,-119.3089,NA,NA,NA,NA,NA,NA
"1423",93647,NA,NA,NA,NA,NA,NA,NA,"Orosi","CA",36.5653,-119.2427,NA,NA,NA,NA,NA,NA
"1424",93648,NA,NA,NA,NA,NA,NA,NA,"Parlier","CA",36.6137,-119.5287,NA,NA,NA,NA,NA,NA
"1425",93649,NA,NA,NA,NA,NA,NA,NA,"Piedra","CA",36.8417,-119.3496,NA,NA,NA,NA,NA,NA
"1426",93650,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.8415,-119.7983,NA,NA,NA,NA,NA,NA
"1427",93651,NA,NA,NA,NA,NA,NA,NA,"Prather","CA",37.0049,-119.5075,NA,NA,NA,NA,NA,NA
"1428",93652,NA,NA,NA,NA,NA,NA,NA,"Raisin","CA",36.6003,-119.9027,NA,NA,NA,NA,NA,NA
"1429",93653,NA,NA,NA,NA,NA,NA,NA,"Raymond","CA",37.2363,-119.925,NA,NA,NA,NA,NA,NA
"1430",93654,NA,NA,NA,NA,NA,NA,NA,"Reedley","CA",36.6087,-119.4376,NA,NA,NA,NA,NA,NA
"1431",93656,NA,NA,NA,NA,NA,NA,NA,"Riverdale","CA",36.4519,-119.9365,NA,NA,NA,NA,NA,NA
"1432",93657,NA,NA,NA,NA,NA,NA,NA,"Sanger","CA",36.7285,-119.5357,NA,NA,NA,NA,NA,NA
"1433",93660,NA,NA,NA,NA,NA,NA,NA,"San Joaquin","CA",36.6002,-120.1534,NA,NA,NA,NA,NA,NA
"1434",93661,NA,NA,NA,NA,NA,NA,NA,"Santa Rita Park","CA",37.1869,-120.6504,NA,NA,NA,NA,NA,NA
"1435",93662,NA,NA,NA,NA,NA,NA,NA,"Selma","CA",36.5668,-119.622,NA,NA,NA,NA,NA,NA
"1436",93664,NA,NA,NA,NA,NA,NA,NA,"Shaver Lake","CA",37.104,-119.2644,NA,NA,NA,NA,NA,NA
"1437",93665,NA,NA,NA,NA,NA,NA,NA,"South Dos Palos","CA",36.9612,-120.6544,NA,NA,NA,NA,NA,NA
"1438",93666,NA,NA,NA,NA,NA,NA,NA,"Sultana","CA",36.5457,-119.3391,NA,NA,NA,NA,NA,NA
"1439",93667,NA,NA,NA,NA,NA,NA,NA,"Tollhouse","CA",36.981,-119.3825,NA,NA,NA,NA,NA,NA
"1440",93668,NA,NA,NA,NA,NA,NA,NA,"Tranquillity","CA",36.6417,-120.2891,NA,NA,NA,NA,NA,NA
"1441",93669,NA,NA,NA,NA,NA,NA,NA,"Wishon","CA",37.2845,-119.5347,NA,NA,NA,NA,NA,NA
"1442",93670,NA,NA,NA,NA,NA,NA,NA,"Yettem","CA",36.4718,-119.2594,NA,NA,NA,NA,NA,NA
"1443",93673,NA,NA,NA,NA,NA,NA,NA,"Traver","CA",36.4555,-119.485,NA,NA,NA,NA,NA,NA
"1444",93675,NA,NA,NA,NA,NA,NA,NA,"Squaw Valley","CA",36.7132,-119.1833,NA,NA,NA,NA,NA,NA
"1445",93688,NA,NA,NA,NA,NA,NA,NA,"Tranquillity","CA",36.6485,-120.2488,NA,NA,NA,NA,NA,NA
"1446",93701,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7494,-119.7887,NA,NA,NA,NA,NA,NA
"1447",93702,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7412,-119.7553,NA,NA,NA,NA,NA,NA
"1448",93703,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7673,-119.765,NA,NA,NA,NA,NA,NA
"1449",93704,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7947,-119.801,NA,NA,NA,NA,NA,NA
"1450",93705,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7869,-119.8275,NA,NA,NA,NA,NA,NA
"1451",93706,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.691,-119.8332,NA,NA,NA,NA,NA,NA
"1452",93707,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1453",93708,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1454",93709,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1455",93710,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.8256,-119.7636,NA,NA,NA,NA,NA,NA
"1456",93711,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.8317,-119.832,NA,NA,NA,NA,NA,NA
"1457",93712,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1458",93714,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1459",93715,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1460",93716,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1461",93717,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1462",93718,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1463",93720,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.8656,-119.7592,NA,NA,NA,NA,NA,NA
"1464",93721,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7332,-119.7847,NA,NA,NA,NA,NA,NA
"1465",93722,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.8016,-119.8888,NA,NA,NA,NA,NA,NA
"1466",93724,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1467",93725,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.6586,-119.741,NA,NA,NA,NA,NA,NA
"1468",93726,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7952,-119.7629,NA,NA,NA,NA,NA,NA
"1469",93727,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7532,-119.697,NA,NA,NA,NA,NA,NA
"1470",93728,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7586,-119.8102,NA,NA,NA,NA,NA,NA
"1471",93729,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1472",93740,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1473",93741,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1474",93744,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1475",93745,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1476",93747,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1477",93750,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1478",93755,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1479",93759,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1480",93760,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1481",93761,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1482",93762,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1483",93764,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1484",93765,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1485",93771,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1486",93772,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1487",93773,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1488",93774,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1489",93775,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1490",93776,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1491",93777,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
"1492",93778,NA,NA,NA,NA,NA,NA,NA,"Fresno","CA",36.7464,-119.6397,NA,NA,NA,NA,NA,NA
