LURN_SAK,INCIDENT_DATE,CATEGORY,STAT,STAT_DESC,ADDRESS,STREET,CITY,ZIPCODE,X_COORDINATE,Y_COORDINATE,INCIDENT_ID,REPORTING_DISTRICT,SEQ,UNIT_ID,UNIT_NAME,DELETED
18386997,11/4/2017 14:30,VANDALISM,263,VANDALISM FELONY,"SKYLINE DR & TURNBULL CANYON RD, HACIENDA HEIGHTS, CA",SKYLINE DR & TURNBULL CANYON RD,HACIENDA HEIGHTS,,6561243.208,1820639.684,917-13635-1477,1477,13635,CA0190014,INDUSTRY,N
18387714,11/4/2017 15:30,VANDALISM,263,VANDALISM FELONY,"1200 65TH ST, LOS ANGELES, CA",1200 65TH ST,LOS ANGELES,,6471901.551,1815141.644,917-17217-2170,2170,17217,CA01900V3,CENTURY,N
18388401,11/4/2017 16:10,VANDALISM,263,VANDALISM FELONY,"500 DIAMOND PLACE, WALNUT, CA 91789",500 DIAMOND PLACE,WALNUT,91789,6596695.351,1829781.254,917-06855-2917,2917,6855,CA0190020,WALNUT,N
18387135,11/4/2017 16:30,VANDALISM,262,VANDALISM: Vandalism Jail,"29300 THE OLD RD, CASTAIC, CA 91384",29300 THE OLD RD,CASTAIC,91384,6376727.033,1987035.423,917-03273-5640,5640,3273,CA0190087,NCCF,N
18387094,11/4/2017 17:20,VANDALISM,264,VANDALISM: Graffiti/Tagging,"ANGELES CREST MM 28.24 HWY, ANGELES NATIONAL FOREST, CA",ANGELES CREST MM 28.24 HWY,ANGELES NATIONAL FOREST,,,,917-01989-1257,1257,1989,CA0190012,CRESCENTA VALLEY,N
18387083,11/4/2017 17:24,VANDALISM,263,VANDALISM FELONY,"16100 BINNEY ST, HACIENDA HEIGHTS, CA 91745",16100 BINNEY ST,HACIENDA HEIGHTS,91745,6575082.874,1824169.838,917-13640-1473,1473,13640,CA0190014,INDUSTRY,N
18387145,11/4/2017 18:00,VANDALISM,263,VANDALISM FELONY,"3600 IMPERIAL HWY, LYNWOOD, CA",3600 IMPERIAL HWY,LYNWOOD,,6500210.531,1797519.808,917-17181-2112,2112,17181,CA01900V3,CENTURY,N
18387499,11/4/2017 18:30,VANDALISM,264,VANDALISM: Graffiti/Tagging,"4500 INDIANA AVE, LA CANADA, CA 91011",4500 INDIANA AVE,LA CANADA,91011,6498233.358,1898973.351,917-01993-1262,1262,1993,CA0190012,CRESCENTA VALLEY,N
18387195,11/4/2017 18:45,VANDALISM,261,VANDALISM MISD,"13600 CARNABY ST, CERRITOS, CA",13600 CARNABY ST,CERRITOS,,6549441.994,1773962.63,017-05354-2316,2316,5354,CA01900R7,CERRITOS,N
18388813,11/4/2017 19:30,VANDALISM,261,VANDALISM MISD,"18600 COLIMA RD, ROWLAND HEIGHTS, CA",18600 COLIMA RD,ROWLAND HEIGHTS,,6592362.893,1817950.608,917-06865-2935,2935,6865,CA0190020,WALNUT,N
18387139,11/4/2017 19:40,VANDALISM,263,VANDALISM FELONY,"1900 MARENGO ST, LOS ANGELES, CA 90033",1900 MARENGO ST,LOS ANGELES,90033,6498497.454,1843259.029,917-02077-8547,8547,2077,CA01900F4,COUNTY SERVICES BUR,N
18387235,11/4/2017 19:45,VANDALISM,263,VANDALISM FELONY,"9300 MINES AVE, PICO RIVERA, CA 90660",9300 MINES AVE,PICO RIVERA,90660,6535910.371,1818443.677,917-08519-1515,1515,8519,CA0190015,PICO RIVERA,N
18387231,11/4/2017 19:47,VANDALISM,263,VANDALISM FELONY,"9300 MINES AVE, PICO RIVERA, CA 90660",9300 MINES AVE,PICO RIVERA,90660,6535910.371,1818443.677,917-08518-1515,1515,8518,CA0190015,PICO RIVERA,N
18387281,11/4/2017 20:30,VANDALISM,261,VANDALISM MISD,"9400 RUSH ST, SOUTH EL MONTE, CA 91733",9400 RUSH ST,SOUTH EL MONTE,91733,6542545.749,1841263.373,917-12712-0561,561,12712,CA0190005,TEMPLE,N
