CRIME CODE DESCRIPTION,LOCATION ,LATITUDE,LONGITUDE
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0414, -118.2382)",34.0414,-118.2382
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0297, -118.2367)",34.0297,-118.2367
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0387, -118.2335)",34.0387,-118.2335
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.035, -118.2386)",34.035,-118.2386
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0347, -118.2339)",34.0347,-118.2339
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0348, -118.235)",34.0348,-118.235
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0565, -118.2445)",34.0565,-118.2445
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0557, -118.2488)",34.0557,-118.2488
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.06, -118.2486)",34.06,-118.2486
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0544, -118.2466)",34.0544,-118.2466
ROBBERY,"(34.0522, -118.2434)",34.0522,-118.2434
ROBBERY,"(34.0547, -118.2772)",34.0547,-118.2772
ROBBERY,"(34.0549, -118.2778)",34.0549,-118.2778
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0559, -118.2756)",34.0559,-118.2756
ROBBERY,"(34.0549, -118.2778)",34.0549,-118.2778
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0544, -118.2767)",34.0544,-118.2767
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0056, -118.2816)",34.0056,-118.2816
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0074, -118.285)",34.0074,-118.285
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0056, -118.2816)",34.0056,-118.2816
ROBBERY,"(34.0074, -118.285)",34.0074,-118.285
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0426, -118.2412)",34.0426,-118.2412
ROBBERY,"(34.0446, -118.245)",34.0446,-118.245
ROBBERY,"(34.048, -118.2438)",34.048,-118.2438
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0449, -118.2415)",34.0449,-118.2415
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0449, -118.2415)",34.0449,-118.2415
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0435, -118.2427)",34.0435,-118.2427
CRIMINAL HOMICIDE,"(34.0453, -118.2443)",34.0453,-118.2443
ROBBERY,"(34.0446, -118.245)",34.0446,-118.245
ROBBERY,"(34.0444, -118.2407)",34.0444,-118.2407
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0435, -118.2427)",34.0435,-118.2427
ROBBERY,"(34.0453, -118.2443)",34.0453,-118.2443
"RAPE, FORCIBLE","(34.0449, -118.2415)",34.0449,-118.2415
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0449, -118.2415)",34.0449,-118.2415
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0435, -118.2427)",34.0435,-118.2427
ROBBERY,"(34.0485, -118.2447)",34.0485,-118.2447
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0468, -118.2415)",34.0468,-118.2415
"RAPE, FORCIBLE","(34.0485, -118.2447)",34.0485,-118.2447
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0446, -118.245)",34.0446,-118.245
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0438, -118.2416)",34.0438,-118.2416
ROBBERY,"(34.0449, -118.2415)",34.0449,-118.2415
"RAPE, FORCIBLE","(34.0468, -118.2415)",34.0468,-118.2415
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0453, -118.2443)",34.0453,-118.2443
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0438, -118.2416)",34.0438,-118.2416
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0435, -118.2427)",34.0435,-118.2427
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0446, -118.245)",34.0446,-118.245
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0455, -118.2452)",34.0455,-118.2452
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.048, -118.2438)",34.048,-118.2438
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0453, -118.2443)",34.0453,-118.2443
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0453, -118.2443)",34.0453,-118.2443
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0449, -118.2415)",34.0449,-118.2415
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0503, -118.2433)",34.0503,-118.2433
