tract,totYouthIndiv,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
293302,0,47,0,0,0,0,47
293304,0,12,0,0,0,0,12
293306,0,6,0,0,0,0,6
293307,0,12,0,0,0,0,12
294421,0,39,0,0,0,0,39
291110,0,0,0,0,0,0,0
291120,0,0,0,0,0,0,0
291130,1,2,0,0,0,0,2
291210,0,0,0,0,0,0,0
291220,0,5,0,0,0,0,5
291300,0,55,0,0,0,0,55
292000,0,57,0,0,0,0,57
293201,0,0,0,0,0,0,0
293202,0,13,0,0,0,0,13
555211,0,7,0,0,0,0,7
555212,0,5,0,0,0,0,5
602002,0,2,0,0,0,0,2
602103,0,3,0,0,0,0,3
602104,1,4,0,0,0,0,4
602105,0,4,0,0,0,0,4
602106,0,2,0,0,0,0,2
602302,0,18,0,0,0,0,18
602402,0,3,0,7,0,7,10
602403,0,2,0,0,0,0,2
602404,0,0,0,0,0,0,0
602504,0,16,0,0,0,0,16
602505,0,2,0,0,0,0,2
602506,0,1,0,0,0,0,1
602507,0,5,0,0,0,0,5
602508,0,9,0,0,0,0,9
602509,1,12,0,0,0,0,12
602700,0,9,0,0,0,0,9
603703,0,1,0,0,0,0,1
621001,0,0,0,0,0,0,0
621002,0,2,0,0,0,0,2
621004,0,0,6,0,0,6,6
621102,0,3,0,0,0,0,3
621104,0,9,0,0,0,0,9
183101,0,13,0,0,0,0,13
183103,0,14,0,0,0,0,14
183104,0,11,0,0,0,0,11
183220,0,0,0,0,0,0,0
183221,0,0,0,0,0,0,0
183222,0,11,0,0,0,0,11
183300,0,2,0,0,0,0,2
183401,0,14,0,0,0,0,14
183510,0,2,0,0,0,0,2
183520,0,3,0,0,0,0,3
183610,0,22,0,0,0,0,22
183620,0,3,0,0,0,0,3
183701,0,3,0,0,0,0,3
183810,0,3,0,0,0,0,3
183820,0,7,0,0,0,0,7
189300,0,0,0,0,0,0,0
189400,0,0,0,2,0,2,2
189500,0,0,0,0,0,0,0
189600,0,8,0,0,0,0,8
189701,0,9,0,0,0,0,9
190100,0,30,0,0,0,0,30
190301,0,19,0,10,0,10,29
190510,0,12,0,0,0,0,12
190520,0,4,0,0,0,0,4
190700,3,72,0,63,0,63,135
190801,0,56,0,0,0,0,56
190802,0,72,0,0,0,0,72
190901,3,13,110,22,0,132,145
190902,0,39,0,0,0,0,39
191000,47,120,47,45,0,92,212
191110,0,28,0,0,0,0,28
191120,0,24,0,0,0,0,24
191201,6,54,0,50,0,50,104
191203,0,5,0,0,0,0,5
191204,0,29,0,0,0,0,29
191301,0,25,0,3,0,3,28
191302,0,54,0,0,0,0,54
191410,0,21,0,0,0,0,21
191420,0,36,0,0,0,0,36
191500,0,25,0,0,0,0,25
191610,8,44,0,0,0,0,44
191620,0,38,0,0,0,0,38
191710,0,14,0,0,0,0,14
191720,0,5,0,0,0,0,5
191810,0,23,0,0,0,0,23
191820,0,28,0,0,0,0,28
191901,47,113,14,0,0,14,127
192700,3,227,64,0,0,64,291
143700,0,15,0,0,0,0,15
189702,0,5,0,0,0,0,5
189800,0,8,0,0,0,0,8
189902,0,6,0,0,0,0,6
189903,0,1,0,0,0,0,1
189904,0,9,0,0,0,0,9
189905,0,2,0,0,0,0,2
190201,0,50,0,0,0,0,50
190202,2,11,0,0,0,0,11
194101,0,1,0,0,0,0,1
194102,0,3,0,0,0,0,3
532500,0,5,0,0,0,0,5
532603,0,14,0,0,0,0,14
532604,0,4,0,0,0,0,4
532605,0,22,0,0,0,0,22
532606,0,0,0,0,0,0,0
533103,0,3,0,0,0,0,3
533104,0,1,0,0,0,0,1
533105,0,2,0,0,0,0,2
533106,0,0,0,0,0,0,0
533107,0,7,0,0,0,0,7
533201,0,0,0,0,0,0,0
533202,0,3,0,0,0,0,3
533203,0,11,0,0,0,0,11
533501,0,3,0,0,0,0,3
533502,0,4,0,0,0,0,4
533503,0,2,0,0,0,0,2
534501,2,2,0,0,0,0,2
534502,0,0,0,0,0,0,0
403303,0,0,0,0,0,0,0
403312,0,0,0,0,0,0,0
407002,0,11,0,0,0,0,11
407801,0,9,0,0,0,0,9
407802,0,4,0,0,0,0,4
408202,0,24,0,0,0,0,24
408211,0,24,0,0,0,0,24
600501,0,8,0,0,0,0,8
600502,0,7,0,0,0,0,7
600601,0,18,0,0,0,0,18
600602,0,9,0,0,0,0,9
600702,0,2,0,0,0,0,2
600703,0,0,0,0,0,0,0
600704,0,13,0,0,0,0,13
600801,0,0,0,0,0,0,0
600802,0,1,0,0,0,0,1
600902,0,1,0,0,0,0,1
600911,0,15,0,0,0,0,15
600912,0,8,0,0,0,0,8
601001,0,31,0,0,0,0,31
601002,0,18,0,0,0,0,18
601100,0,9,0,0,0,0,9
601202,0,2,0,0,0,0,2
601211,0,5,0,0,0,0,5
601212,0,2,0,0,0,0,2
601301,0,0,0,0,0,0,0
601302,0,5,61,0,0,61,66
